,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
876,SUNY Institute of Technology at Utica-Rome,-75.2292,43.13528,"Public, 4-year or above",New York,Master's degree,2480,1620,860
877,SUNY College at Brockport,-77.949824,43.209862,"Public, 4-year or above",New York,Master's degree,8128,6729,1399
878,Buffalo State SUNY,-78.88067,42.934199,"Public, 4-year or above",New York,Master's degree,11091,8799,2292
879,SUNY College at Cortland,-76.197909,42.590158,"Public, 4-year or above",New York,Master's degree,7110,6537,573
880,SUNY at Fredonia,-79.336109,42.450961,"Public, 4-year or above",New York,Master's degree,5391,5149,242
881,SUNY College at Geneseo,-77.821999,42.796864,"Public, 4-year or above",New York,Master's degree,5644,5452,192
882,State University of New York at New Paltz,-74.088727,41.737205,"Public, 4-year or above",New York,Master's degree,7578,6538,1040
883,SUNY Oneonta,-75.064186,42.466555,"Public, 4-year or above",New York,Master's degree,6034,5808,226
884,SUNY College at Oswego,-76.543885,43.453047,"Public, 4-year or above",New York,Master's degree,8117,7306,811
885,SUNY College at Potsdam,-74.976889,44.662862,"Public, 4-year or above",New York,Master's degree,4042,3817,225
886,SUNY at Purchase College,-73.700127,41.047092,"Public, 4-year or above",New York,Master's degree,4353,3949,404
887,SUNY College at Old Westbury,-73.570966,40.789842,"Public, 4-year or above",New York,Master's degree,4367,3657,710
888,SUNY College at Plattsburgh,-73.467342,44.691103,"Public, 4-year or above",New York,Master's degree,6051,5458,593
889,SUNY Empire State College,-73.779915,43.078304,"Public, 4-year or above",New York,Master's degree,11823,4309,7514
890,SUNY Maritime College,-73.800336,40.809048,"Public, 4-year or above",New York,Master's degree,1755,1612,143
891,Syracuse University,-76.136738,43.040525,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,21267,19092,2175
892,Teachers College at Columbia University,-73.960399,40.810311,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship,5149,3169,1980
893,Touro College,-73.989932,40.742172,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,13868,8105,5763
894,Excelsior College,-73.862204,42.704887,"Private not-for-profit, 4-year or above",New York,Master's degree,39897,0,39897
895,Union College,-73.928498,42.817578,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,2246,2225,21
896,United States Merchant Marine Academy,-73.762534,40.812154,"Public, 4-year or above",New York,Master's degree,985,958,27
897,Utica College,-75.272407,43.095183,"Private not-for-profit, 4-year or above",New York,Doctor's degree -  professional practice,4028,2444,1584
898,Vassar College,-73.894345,41.685105,"Private not-for-profit, 4-year or above",New York,Master's degree,2477,2437,40
899,Wagner College,-74.09573,40.615003,"Private not-for-profit, 4-year or above",New York,Master's degree,2245,1985,260
900,Wells College,-76.696512,42.744314,"Private not-for-profit, 4-year or above",New York,Bachelor's degree,534,524,10
901,Yeshiva University,-73.928541,40.8508,"Private not-for-profit, 4-year or above",New York,Doctor's degree - research/scholarship and professional practice,6747,5585,1162
902,Appalachian State University,-81.680234,36.214844,"Public, 4-year or above",North Carolina,Doctor's degree - research/scholarship,17838,16021,1817
903,Barton College,-77.913805,35.735463,"Private not-for-profit, 4-year or above",North Carolina,Master's degree,1065,906,159
904,Belmont Abbey College,-81.041847,35.261276,"Private not-for-profit, 4-year or above",North Carolina,Bachelor's degree,1647,1549,98
