,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
570,Suffolk University,-71.061969,42.359088,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,8675,6815,1860
571,Tufts University,-71.120641,42.406004,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,10872,10051,821
572,Wellesley College,-71.307966,42.293765,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,2474,2344,130
573,Wentworth Institute of Technology,-71.094983,42.336632,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,4179,3724,455
574,Western New England University,-72.518789,42.115837,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship and professional practice,3800,2955,845
575,Westfield State University,-72.795673,42.131589,"Public, 4-year or above",Massachusetts,Master's degree,6371,5220,1151
576,Wheaton College,-71.184167,41.966813,"Private not-for-profit, 4-year or above",Massachusetts,Bachelor's degree,1654,1645,9
577,Wheelock College,-71.10582,42.342503,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,1378,1065,313
578,Williams College,-73.205888,42.711669,"Private not-for-profit, 4-year or above",Massachusetts,Master's degree,2150,2118,32
579,Worcester Polytechnic Institute,-71.808792,42.275067,"Private not-for-profit, 4-year or above",Massachusetts,Doctor's degree - research/scholarship,6296,4719,1577
580,Worcester State University,-71.844019,42.267534,"Public, 4-year or above",Massachusetts,Master's degree,6447,4268,2179
581,Adrian College,-84.059947,41.898449,"Private not-for-profit, 4-year or above",Michigan,Master's degree,1658,1591,67
582,Albion College,-84.746088,42.244603,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,1307,1272,35
583,Alma College,-84.670073,43.379236,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,1419,1378,41
584,Andrews University,-86.355149,41.963266,"Private not-for-profit, 4-year or above",Michigan,Doctor's degree - research/scholarship,3516,2324,1192
585,Aquinas College,-85.626166,42.960449,"Private not-for-profit, 4-year or above",Michigan,Master's degree,2001,1649,352
586,Baker College of Owosso,-84.170882,42.987045,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,2828,1713,1115
587,Baker College of Flint,-83.694679,42.974764,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,4977,2746,2231
588,Calvin College,-85.587548,42.929916,"Private not-for-profit, 4-year or above",Michigan,Master's degree,4034,3849,185
589,Central Michigan University,-84.775275,43.591137,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,26841,19653,7188
590,Concordia University-Ann Arbor,-83.682676,42.274723,"Private not-for-profit, 4-year or above",Michigan,Master's degree,740,532,208
591,Davenport University,-85.529655,42.849713,"Private not-for-profit, 4-year or above",Michigan,Master's degree,9591,2676,6915
592,University of Detroit Mercy,-83.138369,42.417168,"Private not-for-profit, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,5112,3716,1396
593,Eastern Michigan University,-83.624499,42.245751,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship,23447,14493,8954
594,Ferris State University,-85.483509,43.687464,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,14707,10066,4641
595,Kettering University,-83.714356,43.013112,"Private not-for-profit, 4-year or above",Michigan,Master's degree,1985,1612,373
596,Grace Bible College,-85.692077,42.919541,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,579,438,141
597,Cornerstone University,-85.595602,42.979044,"Private not-for-profit, 4-year or above",Michigan,Master's degree,2809,1909,900
598,Grand Valley State University,-85.887519,42.965208,"Public, 4-year or above",Michigan,Doctor's degree -  professional practice,24477,19853,4624
599,Hope College,-86.105376,42.788052,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,3388,3235,153
600,Kalamazoo College,-85.601317,42.290382,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,1458,1446,12
601,Lake Superior State University,-84.3655,46.491736,"Public, 4-year or above",Michigan,Master's degree,2435,1967,468
602,Lawrence Technological University,-83.25003,42.474072,"Private not-for-profit, 4-year or above",Michigan,Doctor's degree - research/scholarship,4002,1571,2431
603,Madonna University,-83.407306,42.386463,"Private not-for-profit, 4-year or above",Michigan,Doctor's degree -  professional practice,4399,1774,2625
604,Marygrove College,-83.154109,42.414415,"Private not-for-profit, 4-year or above",Michigan,Master's degree,1960,816,1144
605,Rochester College,-83.144959,42.667521,"Private not-for-profit, 4-year or above",Michigan,Master's degree,1129,723,406
606,University of Michigan-Ann Arbor,-83.74313,42.276172,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,43710,41152,2558
607,Michigan State University,-84.473639,42.72476,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,49317,43276,6041
608,Michigan Technological University,-88.546403,47.1183,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship,6975,6158,817
609,University of Michigan-Dearborn,-83.231417,42.317287,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship,8748,5225,3523
610,University of Michigan-Flint,-83.688474,43.018777,"Public, 4-year or above",Michigan,Doctor's degree -  professional practice,8555,4943,3612
611,Baker College of Muskegon,-86.196717,43.244133,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,4021,2592,1429
612,Northern Michigan University,-87.403857,46.558037,"Public, 4-year or above",Michigan,Master's degree,8918,7537,1381
613,Oakland University,-83.218866,42.672586,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,20169,13863,6306
614,Olivet College,-84.922864,42.440908,"Private not-for-profit, 4-year or above",Michigan,Master's degree,1133,982,151
615,Kuyper College,-85.592657,43.02195,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,291,248,43
616,Saginaw Valley State University,-83.96434,43.55187,"Public, 4-year or above",Michigan,Doctor's degree -  professional practice,10240,7899,2341
617,Siena Heights University,-84.015144,41.905952,"Private not-for-profit, 4-year or above",Michigan,Master's degree,2684,1246,1438
618,Spring Arbor University,-84.551918,42.206233,"Private not-for-profit, 4-year or above",Michigan,Master's degree,3962,2498,1464
619,Finlandia University,-88.589392,47.12709,"Private not-for-profit, 4-year or above",Michigan,Bachelor's degree,525,464,61
620,Wayne State University,-83.072864,42.35861,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,27897,18096,9801
621,Western Michigan University,-85.61512,42.282589,"Public, 4-year or above",Michigan,Doctor's degree - research/scholarship and professional practice,24294,17042,7252
622,Augsburg College,-93.241418,44.965636,"Private not-for-profit, 4-year or above",Minnesota,Doctor's degree -  professional practice,3554,2567,987
623,Bemidji State University,-94.874529,47.482505,"Public, 4-year or above",Minnesota,Master's degree,4963,3551,1412
624,Bethany Lutheran College,-93.990744,44.166485,"Private not-for-profit, 4-year or above",Minnesota,Bachelor's degree,579,552,27
625,Bethel University,-93.159295,45.057091,"Private not-for-profit, 4-year or above",Minnesota,Doctor's degree - research/scholarship,4340,2942,1398
626,Carleton College,-93.154662,44.462304,"Private not-for-profit, 4-year or above",Minnesota,Bachelor's degree,2045,2025,20
627,Concordia College at Moorhead,-96.765567,46.859423,"Private not-for-profit, 4-year or above",Minnesota,Master's degree,2558,2488,70
628,Concordia University-Saint Paul,-93.154369,44.951231,"Private not-for-profit, 4-year or above",Minnesota,Master's degree,3661,2494,1167
629,Martin Luther College,-94.473422,44.3046,"Private not-for-profit, 4-year or above",Minnesota,Master's degree,824,710,114
630,Gustavus Adolphus College,-93.971928,44.324968,"Private not-for-profit, 4-year or above",Minnesota,Bachelor's degree,2449,2423,26
631,Hamline University,-93.163983,44.965696,"Private not-for-profit, 4-year or above",Minnesota,Doctor's degree - research/scholarship and professional practice,4581,2647,1934
632,Macalester College,-93.169855,44.936709,"Private not-for-profit, 4-year or above",Minnesota,Bachelor's degree,2039,2011,28
633,Minnesota State University-Mankato,-93.998494,44.147253,"Public, 4-year or above",Minnesota,Doctor's degree - other,15426,12097,3329
634,Metropolitan State University,-93.074153,44.957017,"Public, 4-year or above",Minnesota,Doctor's degree - research/scholarship,8510,3033,5477
635,University of Minnesota-Twin Cities,-93.235352,44.977886,"Public, 4-year or above",Minnesota,Doctor's degree - research/scholarship and professional practice,51526,38767,12759
636,University of Minnesota-Crookston,-96.609863,47.802021,"Public, 4-year or above",Minnesota,Bachelor's degree,2839,1305,1534
637,University of Minnesota-Duluth,-92.085177,46.818896,"Public, 4-year or above",Minnesota,Doctor's degree - research/scholarship and professional practice,11241,9658,1583
638,University of Minnesota-Morris,-95.901756,45.589829,"Public, 4-year or above",Minnesota,Bachelor's degree,1946,1815,131
639,Minnesota State University-Moorhead,-96.763376,46.866482,"Public, 4-year or above",Minnesota,Doctor's degree - research/scholarship,6634,5260,1374
640,North Central University,-93.261429,44.969389,"Private not-for-profit, 4-year or above",Minnesota,Bachelor's degree,1305,1088,217
641,University of Northwestern-St Paul,-93.171579,45.032969,"Private not-for-profit, 4-year or above",Minnesota,Master's degree,3352,1986,1366
642,College of Saint Benedict,-94.31902,45.558609,"Private not-for-profit, 4-year or above",Minnesota,Bachelor's degree,2051,2015,36
643,Saint Cloud State University,-94.153,45.552418,"Public, 4-year or above",Minnesota,Doctor's degree - research/scholarship,16765,10447,6318
644,Saint Johns University,-94.39268,45.580538,"Private not-for-profit, 4-year or above",Minnesota,Master's degree,1979,1904,75
645,Saint Mary's University of Minnesota,-91.696652,44.045322,"Private not-for-profit, 4-year or above",Minnesota,Doctor's degree - research/scholarship and professional practice,5528,3294,2234
646,St Olaf College,-93.183633,44.462884,"Private not-for-profit, 4-year or above",Minnesota,Bachelor's degree,3125,3081,44
647,Crown College,-93.743015,44.885372,"Private not-for-profit, 4-year or above",Minnesota,Master's degree,1323,1071,252
648,The College of Saint Scholastica,-92.105738,46.81544,"Private not-for-profit, 4-year or above",Minnesota,Doctor's degree -  professional practice,4206,3309,897
649,University of St Thomas,-93.189422,44.941662,"Private not-for-profit, 4-year or above",Minnesota,Doctor's degree - research/scholarship and professional practice,10192,7257,2935
650,St Catherine University,-93.181925,44.924542,"Private not-for-profit, 4-year or above",Minnesota,Doctor's degree -  professional practice,5017,3254,1763
651,Southwest Minnesota State University,-95.75983,44.455023,"Public, 4-year or above",Minnesota,Master's degree,6917,2403,4514
652,Winona State University,-91.64447,44.046572,"Public, 4-year or above",Minnesota,Doctor's degree - other,8782,7487,1295
653,Alcorn State University,-91.142854,31.877216,"Public, 4-year or above",Mississippi,Master's degree,3848,2917,931
654,Belhaven University,-90.169228,32.318415,"Private not-for-profit, 4-year or above",Mississippi,Master's degree,4025,1411,2614
655,Blue Mountain College,-89.02924,34.67209,"Private not-for-profit, 4-year or above",Mississippi,Master's degree,532,461,71
656,Delta State University,-90.734378,33.743896,"Public, 4-year or above",Mississippi,Doctor's degree - research/scholarship,4785,3676,1109
657,Jackson State University,-90.20663,32.296781,"Public, 4-year or above",Mississippi,Doctor's degree - research/scholarship,9134,6665,2469
658,Millsaps College,-90.178084,32.3231,"Private not-for-profit, 4-year or above",Mississippi,Master's degree,804,767,37
659,University of Mississippi,-89.539377,34.362144,"Public, 4-year or above",Mississippi,Doctor's degree - research/scholarship and professional practice,19431,17612,1819
660,Mississippi University for Women,-88.418601,33.493305,"Public, 4-year or above",Mississippi,Doctor's degree -  professional practice,2629,2046,583
661,Mississippi Valley State University,-90.341274,33.514142,"Public, 4-year or above",Mississippi,Master's degree,2203,1711,492
662,Mississippi College,-90.330452,32.334565,"Private not-for-profit, 4-year or above",Mississippi,Doctor's degree - research/scholarship and professional practice,4921,3781,1140
